"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ATP8A1" 494.489870399731 1.14689262035139 0.259888665248431 4.41301516268539 1.01940853951935e-05 0.000152700431138614
"NIPAL1" 1513.97307919983 1.32003559303712 0.150002900303106 8.80006713450052 1.36734330755527e-18 1.57563859827555e-16
"CNGA1" 737.217467225118 1.11950853591629 0.20178125356765 5.54812955179188 2.88741898850982e-08 7.55948317937057e-07
"HOPX" 26.5153358203706 -1.92925376279509 0.562257469912448 -3.43126390672143 0.000600775826188216 0.00492187232383672
"UGT2B15" 13380.0685939204 2.15863221872641 0.297831034236536 7.24784179815201 4.23464804816658e-13 2.48521891213404e-11
"UGT2B10" 152.220834906933 1.1682782572623 0.322838021044803 3.61877530249193 0.000296000502053546 0.00272215713579268
"WDFY3" 4267.58277991576 1.16467416837787 0.0814433074075119 14.3004281806763 2.17467414068084e-46 1.90731003660713e-43
"AC098582.1" 4908.28826057935 -2.19969587526216 0.195733453550822 -11.2382213431441 2.6466095398806e-29 8.19255388354804e-27
"HERC3" 4714.72677842417 -2.23978212683277 0.198592139644604 -11.2783020055125 1.67956491847779e-29 5.30305827360178e-27
"NAP1L5" 221.430307713419 -1.55238828665513 0.276515301034103 -5.61411350782238 1.97572495906254e-08 5.36846298256803e-07
"ADH1B" 50.3817229592005 -3.97625071841199 0.514206326034185 -7.73279229969575 1.05212880750836e-14 7.58445547220755e-13
"ADH1C" 48.2190225478774 -4.40510725629625 0.569030902746637 -7.74142007935488 9.83124867289708e-15 7.21888013018726e-13
"NPNT" 30.7044432439608 -2.08479184225065 0.714325713969645 -2.91854514191441 0.00351668952868581 0.0207932500334692
"FAM241A" 655.780707130777 1.41734183812891 0.183402655909655 7.72803333244583 1.09220750362268e-14 7.83758175440508e-13
"ABHD18" 1254.52882272473 1.0421830699738 0.10780288826156 9.66748745585708 4.14427481907599e-22 5.9477878698866e-20
"PGRMC2" 3303.96558565413 1.1551293337082 0.140546518896899 8.2188398743307 2.05481178611186e-16 1.87510483626289e-14
"SETD7" 7709.16208238267 1.49355727609325 0.20401035864127 7.32098745397294 2.46152855157838e-13 1.49462120168338e-11
"INPP4B" 448.774160412008 -2.56112646195593 0.220071164844773 -11.6377193884643 2.65007195628474e-31 8.53809917834025e-29
"TRIM2" 122.958737078778 -1.40039217889579 0.375641469590658 -3.72800207714505 0.000193003787775925 0.00191994379182012
"KLHL2" 635.01433130962 1.53052305170299 0.150231364162619 10.1877731073936 2.24855798903869e-24 4.38246728061158e-22
"GK3P" 17.6822198624455 1.94823529242073 0.635171156027925 3.06726033437053 0.00216030620158029 0.0141131619713777
"TLL1" 383.58878133527 1.48822580069414 0.471234602573624 3.15814202218229 0.00158778183532977 0.0109603462327726
"AADAT" 5255.31619042946 -1.54316343222424 0.251735434093439 -6.13010018943717 8.78237495913501e-10 3.15107621545146e-08
"HPGD" 234.186384646217 -3.98891296802086 0.289680099358452 -13.7700621370091 3.85881108527402e-43 2.64865437405308e-40
"WWC2" 96.8646816610983 1.61503921505188 0.280484737103869 5.75802887432624 8.5101800971645e-09 2.48796691099881e-07
"SORBS2" 941.403324938294 -1.08319842726999 0.145348343212506 -7.45243050817793 9.16361282781405e-14 5.80987773946588e-12
