"baseMean.AR" "log2FoldChange.AR" "lfcSE.AR" "stat.AR" "pvalue.AR" "padj.AR" "baseMean.HOX" "log2FoldChange.HOX" "lfcSE.HOX" "stat.HOX" "pvalue.HOX" "padj.HOX"
"ABCD1" 4765.72277524338 0.317435002808333 0.113012031422684 2.80886024976467 0.00497172231222929 0.027281397338604 30.8901100668021 0.241202165790028 0.277760824189329 0.868380796658419 0.385185903970045 0.72075691343394
"ABCD2" 1.8336523762105 -0.251019942365899 2.10141398383375 -0.119452875205458 0.9049165727743 1 0 0 NA NA NA 1
"ABCD3" 2368.16219867733 0.566743819644487 0.135853467081077 4.17172878853549 3.02297319539844e-05 0.000397697315297959 21.8886648922064 0.400797895753287 0.315767934603049 1.2692799104416 0.204341248879913 0.529530355675146
"ABCD4" 984.590005837977 -0.102989974450973 0.142578354385527 -0.72233948059529 0.47008578523364 0.692667938350147 6.11652700883648 -0.516842681275949 0.59201680999692 -0.873020280080624 0.382652023918196 1
"ABCE1" 5556.39826434729 0.0377325308718291 0.0742296860908997 0.508321304573791 0.611228031570633 0.799590398939806 35.8198504005654 -0.457965498331351 0.25089705946241 -1.82531233850497 0.0679539092855561 0.271731379350178
"ABCF1" 5192.12151594747 -0.0975256268561123 0.080891473936869 -1.20563542867602 0.227958092356288 0.450328727126806 36.1215547646773 0.109120357570669 0.246834923220081 0.44207827704095 0.658432563194758 0.874205441046972
"ABCF2" 3986.17443445691 -0.394154048591931 0.101216190169969 -3.89417985334206 9.85315265912846e-05 0.00108777427293469 45.6439393968988 0.296639626969665 0.220755920707428 1.34374482921709 0.179030915525508 0.490896059722556
"ABCF3" 3647.98531743891 -0.118943677052492 0.0691873682423861 -1.71915307770911 0.0855865021644778 0.237419453465228 32.6572896280557 0.544626694432468 0.261518607075985 2.08255427987281 0.0372918703388775 0.178436619944926
"ABCG1" 321.097221495754 2.1244197684311 0.4256773924665 4.99068028048562 6.01670154230837e-07 1.22246675995396e-05 1.62966295314459 1.1898120599342 1.18312697736299 1.00565035089143 0.314583794093796 1
"ABCG2" 124.391591398772 1.55782837682912 0.748136512677 2.08227823456291 0.0373170628038888 0.131913226709582 0 0 NA NA NA 1
"ABCG4" 9.3477367943848 1.74023953034892 0.915699144493526 1.90044900753014 0.0573742207714257 0.178994973020124 0 0 NA NA NA 1
"ABCG5" 1.17031507484872 3.67885274835656 2.59182025193881 1.41940890600133 0.155779837450372 1 0 0 NA NA NA 1
"ABCG8" 4.32641072245385 0.018170762887822 1.54181614973401 0.0117852980661519 0.99059691030001 1 0 0 NA NA NA 1
"ABHD1" 169.989323326617 0.237294230959452 0.271902907894341 0.872716782608528 0.382817467822611 0.614623621577965 0 0 NA NA NA 1
"ABHD10" 4450.80813903493 -0.00949352909174582 0.187501351436226 -0.0506317902192552 0.959618930373092 0.985654134925179 27.6098240521057 -0.176579180355572 0.280506701523868 -0.629500754870725 0.529021274681958 0.813693369470348
"ABHD11" 1763.56418471589 0.0986602814662078 0.108045405401909 0.913137223181401 0.361170375457904 0.594432416172141 32.8732505128571 0.205597885199913 0.259613114494593 0.79193951969709 0.428395942198174 0.752288000865293
"ABHD12" 5057.88481766351 -0.118143970808171 0.104340349823613 -1.13229417965238 0.257510776281562 0.486864985048746 38.2584849121632 0.226917986804414 0.242079842593644 0.937368367284176 0.34856910661021 0.688107297941479
"ABHD12B" 1.66758338286282 1.23526127869667 1.76186958546665 0.701108236890017 0.483235470317103 1 0 0 NA NA NA 1
"ABHD13" 841.736692050423 -0.166456912650945 0.210106003090008 -0.792252054690866 0.428213721747634 0.65652229049528 2.2490171163167 0.0185873333570316 0.957300207515267 0.0194164100363837 0.984508919560287 1
"ABHD14A" 1540.8110848708 0.0897685503106431 0.123888903221867 0.724589111503237 0.468704140790965 0.691600361778387 15.8780435621594 0.178750799800821 0.371672369052932 0.480936477081417 0.630561646641184 0.864457509119146
"ABHD14A-ACY1" 5863.60997250206 0.0817383896671754 0.236466459798633 0.345665891631233 0.729593820402782 0.874039887896397 0 0 NA NA NA 1
"ABHD14B" 3623.80583143648 0.00476596817938694 0.104046225531299 0.0458062573154395 0.963464671431233 0.986755176638866 28.2781823360142 0.430884417528226 0.280942301271942 1.53371142607373 0.125100661543642 0.397714862804437
"ABHD15" 363.16245304724 0.329254311709135 0.140605250052672 2.34169287125333 0.0191965045530377 0.0799829024488801 0.999799033862967 0.0192769371053175 1.4035278561527 0.0137346309307738 0.989041694562375 1
"ABHD16A" 1411.00538810524 -0.0461920094866665 0.163273031046685 -0.282912672047221 0.777243780377602 0.899519651112177 10.7453574128518 0.0191782068843866 0.442934679183467 0.0432980477386438 0.965463947443571 0.98379880677284
"ABHD16B" 416.316849986416 -0.0513143230879288 0.289410162050126 -0.177306569763923 0.8592675906302 0.942162623508749 3.99595176160218 -0.161910928921595 0.72207555268826 -0.224229899930564 0.82257841897123 1
"ABHD17A" 5606.37562712176 0.0482122735088918 0.0939774380419918 0.513019662095376 0.607937566938702 0.79724882911914 47.6407926840506 0.269743019617565 0.217748649640771 1.23878159548898 0.215426391474858 0.545115819934418
"ABHD17B" 611.54307935663 0.215695892892044 0.155265794540832 1.38920419355675 0.164770666893987 0.365752885019034 4.86429601533271 -0.817585660907169 0.670658092822025 -1.21907969151151 0.222813947129417 1
"ABHD17C" 791.535020529597 -0.455093918950624 0.153480453267952 -2.96515881508445 0.00302526708598388 0.0184972468963701 10.8725901418078 -0.0794620622059268 0.443641210974794 -0.179113347092638 0.857848702017609 0.953704245806463
"ABHD2" 22309.0627490779 -0.613723054631461 0.242992367473395 -2.52568860912332 0.0115471780061153 0.0532978363227447 116.209530198727 1.25772571715156 0.158869850533435 7.91670485575777 2.43887755807748e-15 3.02514620184611e-13
"ABHD3" 1527.99355728486 0.0768489388282671 0.150479055405664 0.510695250053878 0.609564467283108 0.798605331535139 10.3782832159436 0.193135683876132 0.451060230293238 0.428181583977316 0.668518923021073 0.878510543900994
"ABHD4" 3349.46190815603 0.206010410249398 0.0928084079238688 2.21973865146345 0.0264365134994129 0.102067311962639 19.8844273495605 0.219375272073237 0.330968757749718 0.662827735055074 0.507440888384947 0.803981014928996
"ABHD5" 1444.48144334962 0.186529754140856 0.140487054132731 1.32773624795794 0.184265254337551 0.393697610110644 7.47025566900945 -1.83421394059479 0.595723765651166 -3.07896720989445 0.00207719542817233 1
"ABHD6" 892.036441911595 0.18890954823277 0.106749836281179 1.76964719397959 0.0767859317541302 0.220805009945802 7.25388784980691 0.318443225795768 0.540647437360467 0.589003486912769 0.555858934514346 1
"ABHD8" 4728.92267231507 0.0914159866850098 0.0827220909868092 1.10509762984094 0.269117287508088 0.499125307552889 13.3778323109094 0.154414509491954 0.399243070535937 0.386768164278146 0.698927847740567 0.894228472105575
"ABI1" 1863.75952732874 0.0989163610636872 0.110715677764658 0.893426866554055 0.37162862038838 0.604765918644507 9.50247427263909 0.171618537488012 0.473613302917831 0.362360044430144 0.717082993445806 0.901477727453746
