"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CGN" 10.5395281109692 1.60473173930529 0.490991159170518 3.26835159723919 0.00108175890585197 0.0119975685597215
"GINS1" 12.3213025072737 -1.96307643146882 0.472652754635851 -4.15331638759038 3.27691166092945e-05 0.000634717123513362
"SMC2" 18.7006210505652 -1.02462266884854 0.350564678799426 -2.92277782336073 0.00346923967206603 0.0297561115489706
"GSTA1" 34.389338824407 1.76448251869846 0.302394534452565 5.83503442578009 5.37794620857289e-09 3.12502279687344e-07
"POC1A" 13.955567496867 -1.11873689247411 0.410617729514926 -2.7245216464367 0.00643947090133985 0.0484650960485905
"SEPN1" 8.83585884295825 -1.88140603079865 0.552334425360006 -3.40628058729522 0.000658544601183365 0.00821454319090201
"FBXW2" 51.5103009004407 1.28021900974393 0.219552263483429 5.83104446035718 5.50815046006986e-09 3.17210450602237e-07
"ORC6" 12.4503575598802 -1.49012120408897 0.449670509696885 -3.31380682512054 0.000920350680263516 0.0105815719923345
"DHRS3" 10.0295992296396 1.32927630640322 0.487491977970031 2.7267654986621 0.00639584753355837 0.0481930100367424
"TSPAN15" 17.0334565827839 1.03510418007515 0.370269534029595 2.7955423953201 0.00518127056031029 0.040904767581397
"RHOB" 56.692420128517 1.81647643293177 0.223879061786187 8.11365037194312 4.91213421130128e-16 7.04072570286517e-14
"TMPRSS2" 35.7569564593609 -1.45375893661459 0.265012744078436 -5.48561897153262 4.12024143945265e-08 1.9685597988496e-06
"YDJC" 19.8024306907433 -1.32272337272744 0.360838988543132 -3.66568861659841 0.000246673923816323 0.00356736952604323
"RFC3" 15.0676090404713 -1.45679091740412 0.405884194978527 -3.58917872493457 0.000331721368289746 0.00456838296418516
"NDC1" 28.1700171446871 -1.13719945089158 0.290567955448239 -3.91371253976476 9.08878277117658e-05 0.00153865220141966
"NEDD4L" 25.9242425171692 -1.18367081042024 0.307031455451737 -3.85521023791746 0.000115630215851629 0.001902589010824
"CBFB" 31.5015654311091 -1.42588166987574 0.296611388490861 -4.80723844465492 1.53029431723635e-06 4.86226519515985e-05
"FAM60A" 23.0545201255818 -1.00411441919011 0.323940444881637 -3.09968833795049 0.0019372436974472 0.0193125530889249
"NOP2" 30.4065615688971 -1.23806413720666 0.28701418493547 -4.31359912571924 1.60618073845829e-05 0.000352376386498502
"TROAP" 30.0361862648519 -1.09920220783988 0.28537838089437 -3.8517360859467 0.000117283384101755 0.00191999448592975
"CCNB1" 139.618161680511 -1.02942092575225 0.139037653367522 -7.40390031634924 1.32241708381353e-13 1.31224464470727e-11
"SLC9A3R1" 127.95271965337 1.18399368839697 0.14605517645634 8.10648220161437 5.21063472585271e-16 7.30621608298913e-14
"UGT2B10" 26.6277175916446 2.62030190711748 0.365108669303019 7.17677263626622 7.13762391788307e-13 6.77024621622732e-11
"CENPA" 10.2137467097604 -1.61311493732418 0.495575241318901 -3.25503536664001 0.00113378246054732 0.0124580866618913
"KIAA0319L" 36.2024806739863 1.02680813789817 0.255081772545573 4.02540772573125 5.68766805288083e-05 0.00103924812864253
"PKMYT1" 20.4296921809097 -1.33970802492099 0.347607583334698 -3.8540816977259 0.000116164804250975 0.00190652159648546
"SLC16A6" 12.4129338558434 1.50870518512228 0.448881650362482 3.36103109562169 0.000776520827211506 0.00930462856499764
"NDRG1" 39.9932414506173 1.34543412754301 0.281656917761269 4.77685454430553 1.78058474337183e-06 5.41734509186239e-05
"RBM24" 9.09389634758761 -1.5926831206188 0.529487856817916 -3.00796911602546 0.00262999863812288 0.0243237454087036
"AC087645.1" 15.3201186574534 -1.36938093157176 0.398383262652566 -3.43734554121069 0.000587445660240388 0.00751790577093354
"NCDN" 25.4573546473048 1.55729476073426 0.315223449449482 4.9402884317584 7.80070928359934e-07 2.63427093608459e-05
"CDKN1A" 60.0215659143343 1.29479080744582 0.222186297372851 5.82750071789094 5.62636080772968e-09 3.21150683273066e-07
"RHNO1" 22.2986077404714 -1.34789366002699 0.336683612885064 -4.00344302021949 6.24272419914628e-05 0.00112160365137865
"TFAP4" 12.7037958814289 -1.52846087805423 0.442997816416347 -3.45026729571445 0.000560031753207051 0.0071956271079392
"AURKA" 24.3063288802939 -1.25668573918186 0.318151456551868 -3.94996066591002 7.81640372778818e-05 0.00135541600222976
"SLC7A8" 30.6610656598255 -1.11491954451575 0.280047280118882 -3.98118326320634 6.85730525255313e-05 0.00121592877060177
"LPIN1" 24.7040378224703 1.69370865116158 0.324849773333473 5.21382124968551 1.84989733113001e-07 7.36533196653615e-06
"TM4SF1" 31.1353463717899 2.62466244531115 0.341983677107171 7.67481789631918 1.6565381391007e-14 1.78077849953325e-12
"TM7SF2" 104.632145121854 1.180920325192 0.161409771401676 7.31628770016174 2.54924815166527e-13 2.49131069367288e-11
"VAMP3" 18.9528198119542 -1.00944060012196 0.347303892102393 -2.90650529140731 0.00365490717302664 0.0310186200868708
